a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20240722.0-1
accessibility-inspector 24.08.1-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
acl 2.3.2-1
ada 2.9.0-2
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
aha 0.5.1-3
akonadi 24.08.1-1
akonadi-calendar 24.08.1-1
akonadi-calendar-tools 24.08.1-1
akonadi-contacts 24.08.1-1
akonadi-import-wizard 24.08.1-1
akonadi-mime 24.08.1-1
akonadi-notes 24.08.1-1
akonadi-search 24.08.1-1
akonadiconsole 24.08.1-1
akregator 24.08.1-1
alacritty 0.13.2-3
alligator 24.08.1-1
alsa-card-profiles 1:1.2.4-1
alsa-lib 1.2.12-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.12-1
analitza 24.08.1-1
android-file-transfer 4.3-1
android-tools 35.0.2-4
android-udev 20240829-1
angelfish 24.08.1-1
aom 3.10.0-1
appstream 1.0.3-1
appstream-qt 1.0.3-1
apr 1.7.5-3
apr-util 1.6.3-2
aquamarine 0.4.1-1
archlinux-appstream-data 20240914-1
archlinux-keyring 20240709-2
argon2 20190702-6
arianna 24.08.1-1
aribb24 1.0.3-4
ark 24.08.1-1
artikulate 24.08.1-1
asar 3.2.8-1
at-spi2-core 2.54.0-2
atkmm 2.28.4-1
attica 6.6.0-1
attica5 5.116.0-1
attr 2.5.2-1
audex 24.08.1-1
audiocd-kio 24.08.1-1
audiofile 0.3.6-9
audiotube 24.08.1-1
audit 4.0.2-2
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-2
avogadro-crystals 1.99.0-1
avogadro-fragments 1.99.0-1
avogadro-molecules 1.99.0-1
avogadrolibs 1.99.0-7
avogadrolibs-qt5 1.99.0-7
ayugram-desktop-bin 5.4.1-2
ayugram-desktop-bin-debug 5.4.1-2
baloo 6.6.0-1
baloo-widgets 24.08.1-1
base 3-2
base-devel 1-2
bash 5.2.032-2
bat 0.24.0-2
bazel 7.3.1-1
bc 1.07.1-5
binutils 2.43+r4+g7999dae6961-1
bison 3.8.2-8
black-hole-solver 1.12.0-2
blas 3.12.0-5
blinken 24.08.1-1
bluedevil 1:6.1.5-1
bluetuith 0.2.3-1
bluez 5.78-1
bluez-libs 5.78-1
bluez-obex 5.78-1
bluez-qt 6.6.0-1
bluez-utils 5.78-1
bolt 0.9.8-1
bomber 24.08.1-1
boost 1.86.0-2
boost-libs 1.86.0-2
botan2 2.19.5-1
bottom 0.10.2-1
bovo 24.08.1-1
breeze 6.1.5-1
breeze-gtk 6.1.5-1
breeze-icons 6.6.0-1
bridge-utils 1.7.1-2
brotli 1.1.0-2
bubblewrap 0.10.0-1
bzip2 1.0.8-6
c-ares 1.33.1-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.104-1
ca-certificates-utils 20240618-1
cairo 1.18.2-1
cairomm 1.14.5-1
calendarsupport 24.08.1-1
cantarell-fonts 1:0.303.1-2
cantor 24.08.1-1
cblas 3.12.0-5
ccache 4.10.2-2
cdparanoia 10.2-9
cervisia 24.08.1-1
cfitsio 1:4.5.0-1
chromaprint 1.5.1-8
chromium 129.0.6668.58-1
chrpath 0.17-1
cifs-utils 7.0-5
clang 18.1.8-2
clinfo 3.0.23.01.25-1
clipse 1.0.9-1
clutter 1.26.4-3
clutter-gtk 1.8.4-4
cmake 3.30.3-2
cmark 0.31.1-1
cogl 1.22.8-3
colord 1.4.7-2
colord-kde 24.08.1-1
compiler-rt 18.1.8-1
composefs 1.0.4-1
confuse 3.3-4
containerd 1.7.22-1
convertlit 1.8-12
coordgen 3.0.2-2
coreutils 9.5-2
cpio 2.15-2
cppdap 1.58.0-2
cronie 1.7.2-1
cryptsetup 2.7.5-1
curl 8.10.1-1
dav1d 1.4.3-1
db5.3 5.3.28-5
dbus 1.14.10-2
dbus-broker 36-4
dbus-broker-units 36-4
dbus-glib 0.112-4
dbus-units 36-4
dconf 0.40.0-3
ddcutil 2.1.4-2
debugedit 5.0-6
default-cursors 3-1
deno 1.46.2-1
desktop-file-utils 0.27-1
device-mapper 2.03.26-1
diffutils 3.10-1
discount 3.0.0.d-1
discover 6.1.5-1
djvulibre 3.5.28-6
dmidecode 3.6-1
docbook-xml 4.5-10
docbook-xsl 1.79.2-8
docker 1:27.2.1-1
dolphin 24.08.1-1
dolphin-plugins 24.08.1-1
dotnet-host 8.0.8.sdk108-1
dotnet-runtime 8.0.8.sdk108-1
dotnet-sdk 8.0.8.sdk108-1
dotnet-targeting-pack 8.0.8.sdk108-1
double-conversion 3.3.0-2
doxygen 1.12.0-2
dragon 24.08.1-1
drkonqi 6.1.5-1
duktape 2.7.0-7
e2fsprogs 1.47.1-4
ebook-tools 0.2.2-8
editorconfig-core-c 0.12.9-1
efibootmgr 18-3
efivar 39-1
electron31 31.6.0-2
electron8-bin 1:8.5.5-5
elisa 24.08.1-1
emacs 29.4-2
enchant 2.8.2-1
eventviews 24.08.1-1
exiv2 0.28.3-1
expat 2.6.3-2
extra-cmake-modules 6.6.0-1
eza 0.19.4-1
faac 1.30-5
faad2 2.11.1-1
fakeroot 1.36-1
falkon 24.08.1-1
fastfetch 2.25.0-1
fcitx5 5.1.10-2
fcitx5-configtool 5.1.6-1
fcitx5-gtk 5.1.3-1
fcitx5-mozc-ut 2.30.5544.102-1
fcitx5-qt 5.1.6-5
ffmpeg 2:7.0.2-2
ffmpeg4.4 4.4.4-6
ffmpegthumbs 24.08.1-1
fftw 3.3.10-7
file 5.45-1
filelight 24.08.1-1
filesystem 2024.04.07-1
findutils 4.10.0-2
firefox 130.0.1-1
fish 3.7.1-2
fisher-git 4.4.5.r1.g1f0dc2b-1
flac 1.4.3-2
flashrom 1.4.0-1
flatpak 1:1.15.10-1
flex 2.6.4-5
fluidsynth 2.3.6-1
fmt 11.0.2-1
fontconfig 2:2.15.0-2
fontforge 20230101-4
fprintd 1.94.3-1
frameworkintegration 6.6.0-1
francis 24.08.1-1
freecell-solver 6.12.0-1
freeglut 3.6.0-1
freerdp 2:3.8.0-1
freerdp2 2.11.7-1
freetype2 2.13.3-1
frei0r-plugins 2.3.3-2
fribidi 1.0.15-1
fuse-common 3.16.2-1
fuse2 2.9.9-5
fuse3 3.16.2-1
futuresql 0.1.1-3
fwupd 1.9.24-1
fwupd-efi 1.6-1
fzf 0.55.0-1
gawk 5.3.1-1
gc 8.2.8-2
gcc 14.2.1+r134+gab884fffe3fc-1
gcc-libs 14.2.1+r134+gab884fffe3fc-1
gcr 3.41.2-2
gcr-4 4.3.0-1
gd 2.3.3-8
gdb 15.1-1
gdb-common 15.1-1
gdbm 1.24-1
gdk-pixbuf2 2.42.12-1
geoclue 2.7.2-1
gettext 0.22.5-2
ghostscript 10.04.0-1
ghostwriter 24.08.1-1
giflib 5.2.2-1
git 2.46.1-1
github-cli 2.57.0-1
glab 1.46.1-1
glew 2.2.0-7
glib-networking 1:2.80.0-3
glib2 2.82.1-1
glib2-devel 2.82.1-1
glib2-docs 2.82.1-1
glibc 2.40+r16+gaa533d58ff-2
glibmm 2.66.7-1
glslang 14.3.0-1
glu 9.0.3-2
gmp 6.3.0-2
gnome-keyring 1:46.2-1
gnugo 3.8-8
gnupg 2.4.5-5
gnutls 3.8.7-1
go 2:1.23.1-1
gobject-introspection 1.82.0-1
gobject-introspection-runtime 1.82.0-1
gperftools 2.15-1
gpgme 1.23.2-6
gpm 1.20.7.r38.ge82d1a6-6
granatier 24.08.1-1
grantlee 5.3.1-2
grantlee-editor 24.08.1-1
grantleetheme 24.08.1-1
graphene 1.10.8-1
graphite 1:1.3.14-4
graphviz 12.1.1-1
grep 3.11-1
grim 1.4.1-2
groff 1.23.0-7
grub 2:2.12-3
gsettings-desktop-schemas 47.1-1
gsettings-system-schemas 47.1-1
gsfonts 20200910-4
gsl 2.8-1
gsm 1.0.22-2
gssdp 1.6.3-1
gst-libav 1.24.8-1
gst-plugin-gtk 1.24.8-1
gst-plugins-bad 1.24.8-1
gst-plugins-bad-libs 1.24.8-1
gst-plugins-base 1.24.8-1
gst-plugins-base-libs 1.24.8-1
gst-plugins-good 1.24.8-1
gst-plugins-ugly 1.24.8-1
gstreamer 1.24.8-1
gtest 1.15.2-1
gthumb 3.12.6-3
gtk-doc 1.34.0-1
gtk-layer-shell 0.9.0-1
gtk-update-icon-cache 1:4.16.1-1
gtk2 2.24.33-5
gtk3 1:3.24.43-3
gtk4 1:4.16.1-1
gtkmm3 3.24.9-1
gts 0.7.6.121130-3
guile 3.0.10-1
gupnp 1:1.6.6-1
gupnp-igd 1.6.0-1
gwenview 24.08.1-1
gzip 1.13-4
harfbuzz 9.0.0-1
harfbuzz-icu 9.0.0-1
hdf5 1.14.4.3-1
hdparm 9.65-2
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
hiredis 1.2.0-2
htop 3.3.0-3
http-parser 2.9.4-2
hugo 0.134.3-1
hunspell 1.7.2-2
hwdata 0.387-1
hwloc 2.11.1-1
hyphen 2.8.8-6
hyprcursor 0.1.9-1
hyprland 0.43.0-1
hyprlang 0.5.2-1
hyprlock 0.4.1-1
hyprpaper 0.7.1-1
hyprshot 1.3.0-1
hyprutils 0.2.2-1
hyprwayland-scanner 0.4.2-1
i2c-tools 4.3-6
iana-etc 20240814-1
ibus 1.5.30-3
icu 75.1-1
id3lib 3.8.3-19
ijs 0.35-6
imagemagick 7.1.1.38-2
imath 3.1.12-1
imlib2 1.12.3-1
incidenceeditor 24.08.1-1
iproute2 6.11.0-1
iptables 1:1.8.10-2
iputils 20240905-1
iso-codes 4.17.0-1
isoimagewriter 24.08.1-1
itinerary 24.08.1-1
iw 6.9-1
jansson 2.14-4
jasper 4.2.4-1
java-environment-common 3-5
java-runtime-common 3-5
jbig2dec 0.20-1
jbigkit 2.1-8
jdk21-openjdk 21.0.4.u7-1
jemalloc 1:5.3.0-4
jq 1.7.1-2
json-c 0.18-1
json-glib 1.10.0-1
jsoncpp 1.9.6-3
juk 24.08.1-1
k3b 1:24.08.1-1
kaccounts-integration 24.08.1-1
kaccounts-providers 24.08.1-1
